donor_id,gene_symbol,probe_id,detected_sample_count,total_sample_count,detection_rate
normalized_microarray_donor10021,MAP4K4,1030502,891,893,0.9977603583426652
normalized_microarray_donor10021,MAP4K4,1030503,891,893,0.9977603583426652
normalized_microarray_donor10021,MAP4K4,1030504,891,893,0.9977603583426652
normalized_microarray_donor10021,MAP4K4,1030505,891,893,0.9977603583426652
normalized_microarray_donor10021,MAPT,1010837,891,893,0.9977603583426652
normalized_microarray_donor10021,MAPT,1012542,44,893,0.04927211646136618
normalized_microarray_donor10021,MAPT,1014908,887,893,0.9932810750279956
normalized_microarray_donor10021,MAPT,1020634,893,893,1.0
normalized_microarray_donor10021,MAPT-AS1,1063807,893,893,1.0
normalized_microarray_donor10021,MBNL2,1026724,892,893,0.9988801791713325
normalized_microarray_donor10021,MBNL2,1026725,893,893,1.0
normalized_microarray_donor10021,MCCC1,1041094,891,893,0.9977603583426652
normalized_microarray_donor10021,MCCC1,1041095,475,893,0.5319148936170213
normalized_microarray_donor10021,MED12L,1036005,775,893,0.8678611422172452
normalized_microarray_donor10021,MED12L,1036006,624,893,0.6987681970884658
normalized_microarray_donor10021,MED13,1047969,876,893,0.9809630459126539
normalized_microarray_donor10021,MED13,1047970,893,893,1.0
normalized_microarray_donor10021,METTL13,1029408,893,893,1.0
normalized_microarray_donor10021,METTL13,1029409,819,893,0.9171332586786114
normalized_microarray_donor10021,MIPOL1,1034741,831,893,0.9305711086226204
normalized_microarray_donor10021,MIPOL1,1034742,830,893,0.9294512877939529
normalized_microarray_donor10021,MMRN1,1046181,3,893,0.0033594624860022394
normalized_microarray_donor10021,MMRN1,1046182,17,893,0.019036954087346025
normalized_microarray_donor10021,MORN1,1038820,628,893,0.7032474804031354
normalized_microarray_donor10021,MORN1,1038821,752,893,0.8421052631578947
normalized_microarray_donor10021,MRPL1,1039604,884,893,0.9899216125419933
normalized_microarray_donor10021,MRPL1,1039605,891,893,0.9977603583426652
normalized_microarray_donor10021,MSR1,1023451,133,893,0.14893617021276595
normalized_microarray_donor10021,MSR1,1023452,14,893,0.015677491601343786
normalized_microarray_donor10021,MSR1,1023453,199,893,0.22284434490481522
normalized_microarray_donor10021,MSR1,1054033,12,893,0.013437849944008958
normalized_microarray_donor10021,MTF2,1046288,890,893,0.9966405375139977
normalized_microarray_donor10021,MTF2,1046289,892,893,0.9988801791713325
normalized_microarray_donor10021,MUC12,1015514,779,893,0.8723404255319149
normalized_microarray_donor10021,MUC12,1025233,27,893,0.030235162374020158
normalized_microarray_donor10021,MUC12,1025234,9,893,0.010078387458006719
normalized_microarray_donor10021,MUC12,1025235,70,893,0.07838745800671892
normalized_microarray_donor10021,MUC12,1047868,1,893,0.0011198208286674132
normalized_microarray_donor10021,MUC19,1069887,6,893,0.006718924972004479
normalized_microarray_donor10021,MYLK2,1037087,891,893,0.9977603583426652
normalized_microarray_donor10021,MYLK2,1037088,89,893,0.09966405375139978
normalized_microarray_donor10021,NDUFAF2,1036662,891,893,0.9977603583426652
normalized_microarray_donor10021,NDUFAF2,1036663,891,893,0.9977603583426652
normalized_microarray_donor10021,NDUFAF2,1036664,891,893,0.9977603583426652
normalized_microarray_donor10021,NOD2,1039983,45,893,0.05039193729003359
normalized_microarray_donor10021,NOD2,1039984,4,893,0.004479283314669653
normalized_microarray_donor10021,NOL4,1049390,884,893,0.9899216125419933
normalized_microarray_donor10021,NOL4,1049391,890,893,0.9966405375139977
normalized_microarray_donor10021,NRBP1,1044129,886,893,0.9921612541993281
normalized_microarray_donor10021,NRBP1,1044130,747,893,0.8365061590145577
normalized_microarray_donor10021,NSF,1053553,891,893,0.9977603583426652
normalized_microarray_donor10021,NSF,1053554,891,893,0.9977603583426652
normalized_microarray_donor10021,NUCKS1,1039781,891,893,0.9977603583426652
normalized_microarray_donor10021,NUCKS1,1039782,891,893,0.9977603583426652
normalized_microarray_donor10021,NUCKS1,1039783,891,893,0.9977603583426652
normalized_microarray_donor10021,NUCKS1,1039784,777,893,0.8701007838745801
normalized_microarray_donor10021,NUCKS1,1039785,29,893,0.032474804031354984
normalized_microarray_donor10021,NUCKS1,1039786,891,893,0.9977603583426652
normalized_microarray_donor10021,NUCKS1,1039787,893,893,1.0
normalized_microarray_donor10021,P2RX5,1029745,828,893,0.9272116461366181
normalized_microarray_donor10021,P2RX5,1029961,777,893,0.8701007838745801
normalized_microarray_donor10021,P2RX5,1029962,589,893,0.6595744680851063
normalized_microarray_donor10021,PAM,1053360,891,893,0.9977603583426652
normalized_microarray_donor10021,PAM,1053361,128,893,0.1433370660694289
normalized_microarray_donor10021,PAM,1053362,889,893,0.9955207166853304
normalized_microarray_donor10021,PAM,1053363,890,893,0.9966405375139977
normalized_microarray_donor10021,PARP9,1012605,130,893,0.1455767077267637
normalized_microarray_donor10021,PARP9,1014893,427,893,0.47816349384098544
normalized_microarray_donor10021,PARP9,1017969,564,893,0.631578947368421
normalized_microarray_donor10021,PARP9,1019052,349,893,0.3908174692049272
normalized_microarray_donor10021,PBXIP1,1040725,885,893,0.9910414333706606
normalized_microarray_donor10021,PCGF3,1047531,892,893,0.9988801791713325
normalized_microarray_donor10021,PCGF3,1047532,499,893,0.5587905935050392
normalized_microarray_donor10021,PCGF3,1047533,566,893,0.6338185890257558
normalized_microarray_donor10021,PCGF3,1047534,882,893,0.9876819708846585
normalized_microarray_donor10021,PDE5A,1023660,318,893,0.3561030235162374
normalized_microarray_donor10021,PDE5A,1029314,476,893,0.5330347144456887
normalized_microarray_donor10021,PDE5A,1029315,533,893,0.5968645016797313
normalized_microarray_donor10021,PDGFB,1025515,883,893,0.9888017917133258
normalized_microarray_donor10021,PDGFB,1025516,738,893,0.826427771556551
normalized_microarray_donor10021,PDLIM2,1030473,891,893,0.9977603583426652
normalized_microarray_donor10021,PDLIM2,1030474,886,893,0.9921612541993281
normalized_microarray_donor10021,PDLIM2,1030475,893,893,1.0
normalized_microarray_donor10021,PDLIM2,1030506,3,893,0.0033594624860022394
normalized_microarray_donor10021,PDLIM2,1030507,824,893,0.9227323628219485
normalized_microarray_donor10021,PDLIM2,1063413,651,893,0.729003359462486
normalized_microarray_donor10021,PIK3CA,1053064,890,893,0.9966405375139977
normalized_microarray_donor10021,PIK3CA,1053065,891,893,0.9977603583426652
normalized_microarray_donor10021,PITPNM2,1040522,365,893,0.4087346024636058
normalized_microarray_donor10021,PITPNM2,1040523,771,893,0.8633818589025756
normalized_microarray_donor10021,PKP2,1028774,784,893,0.8779395296752519
normalized_microarray_donor10021,PKP2,1028775,317,893,0.35498320268757
normalized_microarray_donor10021,PKP2,1068149,286,893,0.3202687569988802
normalized_microarray_donor10021,PLEKHM1,1014469,407,893,0.45576707726763716
normalized_microarray_donor10021,PLEKHM1,1015773,892,893,0.9988801791713325
normalized_microarray_donor10021,PLEKHM1,1019528,424,893,0.4748040313549832
normalized_microarray_donor10021,PLEKHM1,1020046,891,893,0.9977603583426652
normalized_microarray_donor10021,PMVK,1047114,891,893,0.9977603583426652
normalized_microarray_donor10021,PMVK,1047115,887,893,0.9932810750279956
normalized_microarray_donor10021,PRDM15,1021358,96,893,0.10750279955207166
normalized_microarray_donor10021,PRDM15,1021359,85,893,0.09518477043673013
normalized_microarray_donor10021,PRDM15,1021360,28,893,0.03135498320268757
normalized_microarray_donor10021,PRDM15,1065382,0,893,0.0
normalized_microarray_donor10021,RAB25,1040843,9,893,0.010078387458006719
normalized_microarray_donor10021,RAB25,1040844,16,893,0.01791713325867861
normalized_microarray_donor10021,RABEP2,1038854,884,893,0.9899216125419933
normalized_microarray_donor10021,RABEP2,1038855,804,893,0.9003359462486002
normalized_microarray_donor10021,RBMS3,1027165,891,893,0.9977603583426652
normalized_microarray_donor10021,RBMS3,1027166,463,893,0.5184770436730123
normalized_microarray_donor10021,RBMS3,1027167,827,893,0.9260918253079508
normalized_microarray_donor10021,RILPL2,1033620,891,893,0.9977603583426652
normalized_microarray_donor10021,RILPL2,1033621,794,893,0.8891377379619261
normalized_microarray_donor10021,RIMS1,1046115,840,893,0.9406494960806271
normalized_microarray_donor10021,RIMS1,1046116,889,893,0.9955207166853304
normalized_microarray_donor10021,RIMS2,1013694,891,893,0.9977603583426652
normalized_microarray_donor10021,RIMS2,1014746,857,893,0.9596864501679732
normalized_microarray_donor10021,RIMS2,1015006,866,893,0.9697648376259799
normalized_microarray_donor10021,RIMS2,1020609,892,893,0.9988801791713325
normalized_microarray_donor10021,RIT1,1052172,890,893,0.9966405375139977
normalized_microarray_donor10021,RIT1,1052174,497,893,0.5565509518477044
normalized_microarray_donor10021,RIT2,1052175,887,893,0.9932810750279956
normalized_microarray_donor10021,RIT2,1052176,890,893,0.9966405375139977
normalized_microarray_donor10021,RNF141,1043920,891,893,0.9977603583426652
normalized_microarray_donor10021,RNF141,1043922,892,893,0.9988801791713325
normalized_microarray_donor10021,RORA,1024340,891,893,0.9977603583426652
normalized_microarray_donor10021,RORA,1024341,891,893,0.9977603583426652
normalized_microarray_donor10021,RPL10,1052085,891,893,0.9977603583426652
normalized_microarray_donor10021,RPL10,1052086,891,893,0.9977603583426652
normalized_microarray_donor10021,RPL10,1052087,892,893,0.9988801791713325
normalized_microarray_donor10021,RPL13AP3,1012847,891,893,0.9977603583426652
normalized_microarray_donor10021,RPL3,1052118,893,893,1.0
normalized_microarray_donor10021,RPL3,1052119,862,893,0.9652855543113102
normalized_microarray_donor10021,RPS6KL1,1038074,657,893,0.7357222844344905
normalized_microarray_donor10021,RPS6KL1,1038075,828,893,0.9272116461366181
normalized_microarray_donor10021,SCARB2,1058448,891,893,0.9977603583426652
normalized_microarray_donor10021,SCARB2,1058449,893,893,1.0
normalized_microarray_donor10021,SCN2A,1022204,881,893,0.986562150055991
normalized_microarray_donor10021,SCN2A,1022205,893,893,1.0
normalized_microarray_donor10021,SCN2A,1022206,864,893,0.9675251959686451
normalized_microarray_donor10021,SCN2A,1022207,891,893,0.9977603583426652
normalized_microarray_donor10021,SEC23IP,1046486,891,893,0.9977603583426652
normalized_microarray_donor10021,SEC23IP,1046487,828,893,0.9272116461366181
normalized_microarray_donor10021,SEMA4A,1039940,883,893,0.9888017917133258
normalized_microarray_donor10021,SEMA4A,1039941,176,893,0.19708846584546472
normalized_microarray_donor10021,SETD1A,1023898,537,893,0.6013437849944009
normalized_microarray_donor10021,SETD1A,1023899,590,893,0.6606942889137738
