probe_id,probe_name,gene_id,gene_symbol,gene_name,entrez_id,chromosome,total_detected_samples,total_samples,overall_detection_rate,valid_gene_symbol,reliable_probe
1036003,A_24_P281497,78288,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",116983.0,1,3698,3702,0.9989195029713668,True,True
1036002,A_23_P12231,78288,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",116983.0,1,3464,3702,0.9357104267963263,True,True
1036001,A_23_P23630,78288,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",116983.0,1,3695,3702,0.998109130199892,True,True
1036000,A_23_P23625,78288,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",116983.0,1,3448,3702,0.9313884386817937,True,True
1035999,CUST_10848_PI416261804,78289,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",116984.0,4,3697,3702,0.9986493787142086,True,True
1035998,A_32_P83784,78289,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",116984.0,4,3688,3702,0.9962182603997839,True,True
1035997,CUST_12827_PI416261804,78291,AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",116986.0,12,3624,3702,0.9789303079416531,True,True
1035996,A_24_P317622,78293,AGAP3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",116988.0,7,3338,3702,0.9016747703943814,True,True
1035995,A_23_P111452,78293,AGAP3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",116988.0,7,3699,3702,0.9991896272285251,True,True
1035994,CUST_15344_PI416261804,78439,TADA1L,transcriptional adaptor 1,117143.0,1,3692,3702,0.9972987574284171,True,True
1035993,A_23_P74344,78439,TADA1L,transcriptional adaptor 1,117143.0,1,3645,3702,0.9846029173419774,True,True
1035992,CUST_15221_PI416261804,78440,CATSPER1,"cation channel, sperm associated 1",117144.0,11,24,3702,0.006482982171799027,True,False
1035991,A_23_P52676,78440,CATSPER1,"cation channel, sperm associated 1",117144.0,11,169,3702,0.045650999459751485,True,False
1035990,A_24_P928510,78441,THEM4,thioesterase superfamily member 4,117145.0,1,2790,3702,0.7536466774716369,True,True
1035989,CUST_3887_PI416261804,78441,THEM4,thioesterase superfamily member 4,117145.0,1,66,3702,0.017828200972447326,True,False
1035988,A_23_P149375,78441,THEM4,thioesterase superfamily member 4,117145.0,1,3646,3702,0.9848730415991356,True,True
1035987,A_23_P205408,78449,MIA2,melanoma inhibitory activity 2,117153.0,14,215,3702,0.05807671528903296,True,False
1035986,A_23_P117387,78449,MIA2,melanoma inhibitory activity 2,117153.0,14,177,3702,0.04781199351701783,True,False
1036535,CUST_672_PI416261804,60231,IMP4,"IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)",92856.0,2,3621,3702,0.9781199351701783,True,True
1036534,A_23_P302094,60231,IMP4,"IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)",92856.0,2,3692,3702,0.9972987574284171,True,True
1036533,CUST_1240_PI416573500,60234,CCDC102A,coiled-coil domain containing 102A,92922.0,16,533,3702,0.14397622906537008,True,False
1036532,A_23_P65983,60234,CCDC102A,coiled-coil domain containing 102A,92922.0,16,2091,3702,0.5648298217179902,True,True
1036531,CUST_1280_PI416379584,60234,CCDC102A,coiled-coil domain containing 102A,92922.0,16,1769,3702,0.47784981091302,True,False
1036530,CUST_7659_PI416261804,60235,MARS2,"methionyl-tRNA synthetase 2, mitochondrial",92935.0,2,652,3702,0.17612101566720692,True,False
1036529,A_23_P108492,60235,MARS2,"methionyl-tRNA synthetase 2, mitochondrial",92935.0,2,33,3702,0.008914100486223663,True,False
1036528,A_23_P312415,60237,ADAMTSL1,ADAMTS-like 1,92949.0,9,106,3702,0.02863317125877904,True,False
1036527,CUST_1446_PI416261804,60238,PEX11G,peroxisomal biogenesis factor 11 gamma,92960.0,19,1759,3702,0.47514856834143704,True,False
1036526,A_23_P321466,60238,PEX11G,peroxisomal biogenesis factor 11 gamma,92960.0,19,1897,3702,0.5124257158292814,True,True
1036525,CUST_1100_PI416261804,60241,MARCH9,membrane-associated ring finger (C3HC4) 9,92979.0,12,2668,3702,0.7206915180983252,True,True
1036524,A_23_P47777,60241,MARCH9,membrane-associated ring finger (C3HC4) 9,92979.0,12,3700,3702,0.9994597514856834,True,True
