structure_id,structure_acronym,structure_name,total_sample_count,number_of_donors
9016,ICjl,"interstitial nucleus of Cajal, left",2,2
4524,Hl,"lateral habenular nucleus, left",2,2
13006,LHM,"lateral hypothalamic area, mammillary region, right",2,2
4382,LA,"lateral nucleus, right",2,1
9147,LPB,"lateral parabrachial nucleus, right",2,1
4499,MG,"medial geniculate complex, right",2,1
9019,MBRF,"midbrain reticular formation, left",2,1
9023,MBRF,"midbrain reticular formation, right",2,1
9213,Mo5,"motor nucleus of trigeminal nerve, right",2,2
9048,Dk,"nucleus of Darkschewitsch, left",2,2
4072,PCLa,"paracentral lobule, anterior part, left",2,2
4128,PCLp-cs,"paracentral lobule, posterior part, left, bank of cingulate sulcus",2,1
4130,PCLp-l,"paracentral lobule, posterior part, right, lateral bank of gyrus",2,1
4604,PVH,"paraventricular nucleus of the hypothalamus, right",2,1
9157,RPn,pontine raphe nucleus,2,2
4693,PHA,"posterior hypothalamic area, right",2,2
4556,PrOR,"preoptic region, right",2,2
4064,SCG,"subcallosal cingulate gyrus, right",2,2
4899,SRoG,"superior rostral gyrus, right",2,2
4624,SO,"supraoptic nucleus, right",2,2
4908,TP-m,"temporal pole, right, medial aspect",2,2
4513,ZI,"zona incerta, right",2,2
9451,EW,"Edinger-Westphal nucleus, right",1,1
4751,PV-III,"III, right, paravermis",1,1
4629,AHA,"anterior hypothalamic area, right",1,1
4055,AOrG,"anterior orbital gyrus, right",1,1
4659,ARH,"arcuate nucleus of the hypothalamus, right",1,1
10149,CGPo,"central gray of the pons, right",1,1
4363,CeA,"central nucleus, right",1,1
4240,CgGr-s,"cingulate gyrus, retrosplenial part, right, superior bank of gyrus",1,1
9241,cgb,"cingulum bundle, left",1,1
9242,cgb,"cingulum bundle, right",1,1
9534,8Co,"cochlear nuclei, right",1,1
4892,FPm,"frontal pole, left, medial aspect",1,1
4895,FPi,"frontal pole, right, inferior aspect",1,1
4896,FPm,"frontal pole, right, medial aspect",1,1
4210,IOG-s,"inferior occipital gyrus, right, superior bank of gyrus",1,1
9017,ICjl,"interstitial nucleus of Cajal, right",1,1
4529,Hl,"lateral habenular nucleus, right",1,1
4627,LHA,"lateral hypothalamic area, anterior region, right",1,1
4671,MB,"mammillary body, left",1,1
4685,MB,"mammillary body, right",1,1
4523,Hm,"medial habenular nucleus, left",1,1
4528,Hm,"medial habenular nucleus, right",1,1
4910,OPi,"occipital pole, left, inferior aspect",1,1
4911,OPl,"occipital pole, left, lateral aspect",1,1
4909,OPs,"occipital pole, left, superior aspect",1,1
4127,PCLp-l,"paracentral lobule, posterior part, left, lateral bank of gyrus",1,1
4131,PCLp-cs,"paracentral lobule, posterior part, right, bank of cingulate sulcus",1,1
4067,PTG,"paraterminal gyrus, right",1,1
4070,PaOG,"parolfactory gyri, right",1,1
4532,PIN,pineal gland,1,1
9123,SC,"superior colliculus, right",1,1
4022,SFG,"superior frontal gyrus, left",1,1
4218,SOG-i,"superior occipital gyrus, right, inferior bank of gyrus",1,1
4652,VMH,"ventromedial hypothalamic nucleus, right",1,1
