structure_id,structure_acronym,structure_name,number_of_donors,total_sample_count,number_of_genes
9178,SOC,"superior olivary complex, left",5,12,20598
9186,SOC,"superior olivary complex, right",2,5,20598
9206,Mo5,"motor nucleus of trigeminal nerve, left",5,8,20598
9207,Pr5,"principal sensory nucleus of trigeminal nerve, left",4,6,20598
9213,Mo5,"motor nucleus of trigeminal nerve, right",2,2,20598
9214,Pr5,"principal sensory nucleus of trigeminal nerve, right",2,3,20598
9222,cc,corpus callosum,6,13,20598
9241,cgb,"cingulum bundle, left",1,1,20598
9242,cgb,"cingulum bundle, right",1,1,20598
9450,EW,"Edinger-Westphal nucleus, left",2,2,20598
9451,EW,"Edinger-Westphal nucleus, right",1,1,20598
9455,MBRa,midbrain raphe nuclei,2,7,20598
9456,MBRa,"midbrain raphe nuclei, left",3,5,20598
9492,Pn,"pontine nuclei, left",6,35,20598
9493,Pn,"pontine nuclei, right",2,13,20598
9520,Arc,"arcuate nucleus of medulla, left",6,18,20598
9521,Arc,"arcuate nucleus of medulla, right",2,6,20598
9525,CGS,central glial substance,4,9,20598
9529,8Co,"cochlear nuclei, left",5,7,20598
9534,8Co,"cochlear nuclei, right",1,1,20598
9543,Cu,"cuneate nucleus, left",6,16,20598
9544,Cu,"cuneate nucleus, right",2,6,20598
9546,10,"dorsal motor nucleus of the vagus, left",4,10,20598
9547,10,"dorsal motor nucleus of the vagus, right",2,6,20598
9555,Gr,"gracile nucleus, left",3,3,20598
9556,Gr,"gracile nucleus, right",2,6,20598
9558,12,"hypoglossal nucleus, left",4,9,20598
9559,12,"hypoglossal nucleus, right",2,6,20598
9561,IO,"inferior olivary complex, left",6,21,20598
9565,IO,"inferior olivary complex, right",2,8,20598
9589,CMRt,"central medullary reticular group, left",4,9,20598
9593,CMRt,"central medullary reticular group, right",2,6,20598
9598,GiRt,"gigantocellular group, left",6,19,20598
9604,GiRt,"gigantocellular group, right",2,5,20598
9614,LMRt,"lateral medullary reticular group, left",6,13,20598
9619,LMRt,"lateral medullary reticular group, right",2,7,20598
9642,RaM,raphe nuclei of medulla,6,16,20598
9677,Sp5,"spinal trigeminal nucleus, left",6,35,20598
9684,Sp5,"spinal trigeminal nucleus, right",2,12,20598
9698,8Ve,"vestibular nuclei, left",6,18,20598
9703,8Ve,"vestibular nuclei, right",2,7,20598
9708,CPLV,choroid plexus of the lateral ventricle,3,5,20598
10143,Pir,"piriform cortex, left",3,3,20598
10145,OlfT,"olfactory tubercle, left",4,5,20598
10148,CGPo,"central gray of the pons, left",2,3,20598
10149,CGPo,"central gray of the pons, right",1,1,20598
10151,LTu,"lateral tuberal nucleus, left",4,4,20598
13005,LHM,"lateral hypothalamic area, mammillary region, left",6,6,20598
13006,LHM,"lateral hypothalamic area, mammillary region, right",2,2,20598
13008,LHT,"lateral hypothalamic area, tuberal region, left",4,4,20598
