gene_symbol,probe_id,probe_name,overall_detection_rate,donors_with_detection_rate_at_least_0_5
SLC41A1,1032909,A_24_P122732,0.9978390059427337,6
SMAD4,1054430,A_23_P27346,0.9635332252836305,6
SNCA,1010655,A_32_P109653,0.9994597514856834,6
SORBS2,1029199,A_23_P121795,0.9921663965424095,6
SPATA6,1042809,CUST_107_PI416261804,0.984332793084819,6
SPPL2B,1019980,A_23_P79066,0.9994597514856834,6
SPTSSB,1021818,A_32_P199551,0.7296056185845489,6
STK39,1044446,A_23_P90762,0.9991896272285251,6
STX1B,1036371,A_23_P152462,0.9978390059427337,6
SV2C,1025369,CUST_882_PI416379584,0.9702863317125878,6
SYT10,1031929,A_23_P13866,0.7144786601836844,6
SYT17,1043121,A_23_P163697,0.9959481361426256,6
SYT4,1051007,A_23_P208030,0.9956780118854673,6
TAC1,1029250,CUST_2039_PI417557136,0.9502971366828741,6
TBC1D5,1011556,A_24_P289029,0.9978390059427337,6
TBXAS1,1028035,A_24_P274814,0.973257698541329,6
TEKT4,1034404,A_32_P231179,0.7903835764451648,5
TIAL1,1022190,A_23_P161488,0.9967585089141004,6
TMEM108,1039492,A_23_P254688,0.9970286331712588,6
TMEM163,1038292,A_23_P39550,0.8184764991896273,6
TMEM175,1037692,A_23_P58148,0.9997298757428417,6
TPM1,1029652,A_23_P391586,0.9991896272285251,6
TRIM46,1061310,A_23_P46222,0.9743381955699622,6
TXNDC15,1038974,A_23_P41777,0.9994597514856834,6
UBAP2,1041521,A_23_P60472,0.9967585089141004,6
UBQLN4,1041134,A_23_P201059,0.9300378173960021,6
UBTF,1020229,A_23_P100779,0.9543490005402485,6
