gene_symbol,probe_id,probe_name,total_detected_samples,total_samples,overall_detection_rate,number_of_donors_present,donors_with_detection_rate_at_least_0_5,reliable_probe
LINC00326,1012240,CUST_11595_PI416261804,46,3702,0.01242571582928147,6,0,False
LINC00326,1017951,A_24_P601831,19,3702,0.005132360886007563,6,0,False
LMNA,1023738,A_24_P162718,3668,3702,0.990815775256618,6,6,True
LMNA,1023739,CUST_15490_PI416261804,1907,3702,0.5151269584008644,6,4,True
LMNA,1054551,A_23_P34835,3699,3702,0.9991896272285251,6,6,True
LRP1B,1043072,A_23_P5342,3671,3702,0.9916261480280929,6,6,True
LRP1B,1043073,CUST_16397_PI416261804,3663,3702,0.9894651539708266,6,6,True
LRP8,1024086,CUST_439_PI416408490,3671,3702,0.9916261480280929,6,6,True
LRP8,1050104,A_23_P200222,3697,3702,0.9986493787142086,6,6,True
LRP8,1050105,A_23_P34325,3641,3702,0.9835224203133441,6,6,True
LRRC37A4P,1015072,A_32_P5571,3624,3702,0.9789303079416531,6,6,True
LRRC37A4P,1015124,A_24_P238143,3700,3702,0.9994597514856834,6,6,True
LRRC37A4P,1015247,A_24_P666482,3679,3702,0.9937871420853592,6,6,True
LRRC37A4P,1015252,A_23_P4101,3509,3702,0.9478660183684495,6,6,True
LRRC37A4P,1020297,A_24_P579984,3700,3702,0.9994597514856834,6,6,True
LRRC37A4P,1022598,CUST_4146_PI416261804,3671,3702,0.9916261480280929,6,6,True
LRRC37A4P,1070359,A_32_P116481,2498,3702,0.6747703943814155,6,5,True
LRRK2,1022614,A_23_P128447,3699,3702,0.9991896272285251,6,6,True
LRRK2,1022615,CUST_15588_PI416261804,3594,3702,0.9708265802269044,6,6,True
LRRK2,1022616,CUST_442_PI416408490,2978,3702,0.804430037817396,6,6,True
LRRN2,1024046,A_23_P11843,3700,3702,0.9994597514856834,6,6,True
LRRN2,1024047,CUST_1890_PI416261804,1197,3702,0.3233387358184765,6,1,False
LRRN2,1047393,CUST_1370_PI416261804,888,3702,0.23987034035656402,6,0,False
MAP4K4,1030502,A_23_P90804,3694,3702,0.9978390059427337,6,6,True
MAP4K4,1030503,A_24_P157165,3688,3702,0.9962182603997839,6,6,True
MAP4K4,1030504,A_23_P108604,3700,3702,0.9994597514856834,6,6,True
MAP4K4,1030505,A_23_P102192,3699,3702,0.9991896272285251,6,6,True
MAPT,1010837,A_24_P224488,3685,3702,0.995407887628309,6,6,True
MAPT,1012542,A_32_P143793,385,3702,0.10399783900594273,6,0,False
MAPT,1014908,A_23_P207699,3600,3702,0.9724473257698542,6,6,True
MAPT,1020634,CUST_449_PI416408490,3697,3702,0.9986493787142086,6,6,True
MAPT-AS1,1063807,A_24_P127174,3702,3702,1.0,6,6,True
MBNL2,1026724,A_24_P56317,3701,3702,0.9997298757428417,6,6,True
MBNL2,1026725,A_23_P204979,3692,3702,0.9972987574284171,6,6,True
