gene_symbol,probe_id,probe_name,gene_id,gene_name,entrez_id,chromosome,overall_detection_rate,total_detected_samples,total_samples
AC022098.1,1016490,A_32_P52330,76651,uncharacterized LOC113230,113230.0,19,0.9994597514856834,3700,3702
AC022098.3,1019025,A_32_P198177,110032,paralemmin 3,342979.0,19,0.8860075634792004,3280,3702
AC022100.1,1031372,A_32_P222695,123404,Rho guanine nucleotide exchange factor (GEF) 37,389337.0,5,0.998109130199892,3695,3702
AC022311.1,1021295,CUST_26_PI417507815,171285,uncharacterized LOC727982,727982.0,2,0.9991896272285251,3699,3702
AC022498.2,1013337,CUST_8424_PI416261804,125457,uncharacterized LOC401105,401105.0,3,0.5564559697460832,2060,3702
AC022596.6,1014233,A_32_P58796,81551,ubiquitin specific peptidase 32 pseudogene 1,162632.0,17,0.9989195029713668,3698,3702
AC022748.1,1011434,CUST_337_PI417507815,165042,"TBC1 domain family, member 2B pseudogene",646938.0,15,0.6010264721772015,2225,3702
AC023024.1,1041528,A_23_P26084,35117,VCP-interacting membrane protein,55829.0,15,0.9994597514856834,3700,3702
AC023055.2,1018508,A_24_P596027,133322,"transmembrane protein 198B, pseudogene",440104.0,12,0.6315505132360886,2338,3702
AC024270.1,1043959,A_23_P344451,30297,"hepatoma-derived growth factor, related protein 3",50810.0,15,0.9994597514856834,3700,3702
AC024560.3,1018672,A_32_P227845,85666,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp) pseudogene",220729.0,3,0.9994597514856834,3700,3702
AC024575.2,1039767,A_23_P153461,41323,lipid phosphate phosphatase-related protein type 2,64748.0,19,0.9759589411129119,3613,3702
AC024575.3,1017527,A_24_P75920,79105,coiled-coil domain containing 159,126075.0,19,0.9948676391139925,3683,3702
AC025627.16,1021619,CUST_8793_PI416261804,94207,"lectin, galactoside-binding, soluble, 9B",284194.0,17,0.9546191247974068,3534,3702
AC025647.1,1052878,A_23_P157452,5408,"polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa",5440.0,8,0.9975688816855753,3693,3702
AC026369.2,1011313,CUST_4229_PI416261804,124065,uncharacterized protein ENSP00000244321,390940.0,19,0.9991896272285251,3699,3702
AC027323.1,1022927,A_32_P86400,77730,"LysM, putative peptidoglycan-binding, domain containing 3",116068.0,5,0.9824419232847109,3637,3702
AC034193.5,1016699,A_23_P384698,135059,uncharacterized LOC442075,442075.0,3,0.6907077255537547,2557,3702
AC034199.2,1016275,A_24_P922631,79577,chromosome 5 open reading frame 58,133874.0,5,0.9832522960561858,3640,3702
AC044839.2,1015631,A_32_P189790,119464,uncharacterized DKFZp779M0652,374387.0,11,0.98892490545651,3661,3702
