gene_symbol,number_of_available_probes,number_of_reliable_probes,best_detection_rate
A_23_P119850,2,0,0.039978390059427334
A_23_P120545,1,0,0.019448946515397084
A_23_P121,1,0,0.03538627768773636
A_23_P121573,1,0,0.2368989735278228
A_23_P122481,1,0,0.012965964343598054
A_23_P122688,1,0,0.021339816315505133
A_23_P123362,2,0,0.007293354943273906
A_23_P12373,1,0,0.004051863857374392
A_23_P123838,1,0,0.004051863857374392
A_23_P12386,1,0,0.005942733657482442
A_23_P124335,1,0,0.2909238249594814
A_23_P124343,1,0,0.006212857914640735
A_23_P124699,1,0,0.18584548892490546
A_23_P124934,1,0,0.33630470016207453
A_23_P124977,1,0,0.0032414910858995136
A_23_P125176,2,0,0.03268503511615343
A_23_P125844,1,0,0.006212857914640735
A_23_P12628,1,0,0.43814154511075093
A_23_P126560,1,0,0.005132360886007563
A_23_P127697,1,0,0.1318206374932469
A_23_P129754,1,0,0.07104267963263101
A_23_P131170,1,0,0.004051863857374392
A_23_P132606,1,0,0.008373851971907077
A_23_P13271,1,0,0.019448946515397084
A_23_P134405,1,0,0.3965424095083738
A_23_P134704,1,0,0.01431658562938952
A_23_P13535,1,0,0.45272825499729874
A_23_P135385,1,0,0.3371150729335494
A_23_P135589,1,0,0.12749864937871422
A_23_P135926,1,0,0.10453808752025932
A_23_P136026,1,0,0.17450027012425715
A_23_P136085,1,0,0.017017828200972446
A_23_P136392,1,0,0.32576985413290116
A_23_P136724,2,0,0.0032414910858995136
A_23_P136849,3,0,0.01431658562938952
A_23_P136959,1,0,0.0035116153430578066
A_23_P13789,1,0,0.02971366828741221
A_23_P140454,2,0,0.09292274446245273
A_23_P140654,3,0,0.37385197190707725
A_23_P140780,1,0,0.006482982171799027
A_23_P142395,1,0,0.27660723933009185
A_23_P142861,1,0,0.035926526202052944
A_23_P143288,1,0,0.017017828200972446
A_23_P143811,1,0,0.009994597514856833
A_23_P144208,1,0,0.001350621285791464
A_23_P144704,3,0,0.46326310102647217
A_23_P145930,1,0,0.004592112371690978
A_23_P146717,1,0,0.05483522420313344
A_23_P147224,1,0,0.0018908698001080498
A_23_P147970,1,0,0.0189086980010805
A_23_P156168,2,0,0.273095623987034
A_23_P157692,2,0,0.01350621285791464
A_23_P158176,1,0,0.002701242571582928
A_23_P158699,1,0,0.17504051863857376
A_23_P158868,1,0,0.010804970286331712
A_23_P158913,2,0,0.011345218800648298
A_23_P159163,1,0,0.02674230145867099
A_23_P159527,1,0,0.013776337115072933
A_23_P159595,1,0,0.0018908698001080498
A_23_P163200,1,0,0.029983792544570502
A_23_P163336,1,0,0.1507293354943274
A_23_P16370,1,0,0.01431658562938952
A_23_P164415,1,0,0.14019448946515398
A_23_P165513,1,0,0.0032414910858995136
A_23_P166467,1,0,0.19611021069692058
A_23_P166520,1,0,0.3465694219340897
A_23_P167051,1,0,0.04024851431658563
A_23_P169812,1,0,0.006212857914640735
A_23_P169944,1,0,0.00945434900054025
A_23_P169949,1,0,0.014586709886547812
A_23_P170110,2,0,0.3454889249054565
A_23_P170409,1,0,0.039978390059427334
A_23_P170427,1,0,0.26499189627228525
A_23_P170551,1,0,0.00945434900054025
A_23_P170830,1,0,0.23743922204213938
