structure_id,structure_acronym,structure_name,number_of_donors,coordinate_donor_count,mni_x,mni_y,mni_z,parkinsons_expression_score,enrichment_z_score,empirical_p_value,fdr_q_value,significant_fdr_0_05
4074,PCLa-i,"paracentral lobule, anterior part, left, inferior bank of gyrus",6,6,-5.911111111111111,-22.233333333333334,49.40555555555556,-0.09123738,-0.44763473,0.6748325167483251,0.9922007799220078,False
4166,HG,"Heschl's gyrus, left",6,6,-47.25833333333333,-15.180555555555555,5.61388888888889,-0.093163654,0.5679831,0.2851714828517148,0.7025107615820697,False
4903,TP-s,"temporal pole, left, superior aspect",5,5,-37.87,16.71,-22.56,-0.09843927,1.8657087,0.0297970202979702,0.2935026497350264,False
4187,Cun-str,"cuneus, left, striate",6,6,-11.366666666666667,-81.18055555555556,8.880555555555555,-0.098621376,-1.5552953,0.9411058894110588,0.9922007799220078,False
4270,LIG,"long insular gyri, left",6,6,-39.94722222222222,-12.236111111111109,4.366666666666666,-0.10054295,1.5529438,0.0603939606039396,0.3649468386494684,False
4254,CA1,"CA1 field, left",6,6,-30.46666666666667,-25.301666666666666,-12.410000000000002,-0.1010271,2.4102187,0.0074992500749925,0.2378762123787621,False
4030,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",6,6,-29.33952380952381,29.349682539682536,40.89809523809524,-0.113784544,1.1210735,0.1313868613138686,0.546449900464499,False
4367,COMA,"cortico-medial group, left",6,6,-20.849999999999998,-7.575,-10.616666666666665,-0.13300708,2.1127727,0.0175982401759824,0.2666304798091619,False
4014,PrG-il,"precentral gyrus, left, inferior lateral aspect of gyrus",6,6,-48.18333333333334,-7.782222222222223,40.67666666666667,-0.13868162,1.0542554,0.1475852414758524,0.5733426657334266,False
4039,trIFG,"inferior frontal gyrus, triangular part, left",6,6,-47.463888888888896,35.48611111111111,-0.23888888888888873,-0.14029731,-0.5832434,0.7226277372262774,0.9922007799220078,False
9222,cc,corpus callosum,6,6,-6.219444444444444,4.041666666666667,19.502777777777776,-0.14404486,-2.2349672,0.9851014898510148,0.9922007799220078,False
4280,HCd,"head of caudate nucleus, left",6,6,-13.6875,15.658333333333331,8.983333333333333,-0.15572637,-1.5289923,0.937006299370063,0.9922007799220078,False
4282,BCd,"body of caudate nucleus, left",6,6,-19.332222222222224,-14.319444444444445,19.308333333333334,-0.16302851,-1.7689433,0.962003799620038,0.9922007799220078,False
4672,MM,"medial mammillary nucleus, left",4,4,-6.875,-4.75,-12.375,-0.16401942,0.6375921,0.2652734726527347,0.6940597606905976,False
4542,PrOR,"preoptic region, left",6,6,-3.8833333333333333,0.5499999999999999,-3.4499999999999997,-0.16806142,0.79311585,0.2092790720927907,0.6640064807078614,False
9520,Arc,"arcuate nucleus of medulla, left",6,6,-1.9194444444444443,-32.52222222222222,-53.31527777777777,-0.17426322,1.0322543,0.1503849615038496,0.5733426657334266,False
4329,ATZ,"amygdalohippocampal transition zone, left",6,6,-17.683333333333334,-4.8999999999999995,-14.5,-0.17602436,2.2221756,0.0142985701429857,0.2378762123787621,False
4360,CeA,"central nucleus, left",6,6,-26.34166666666667,-8.658333333333333,-9.541666666666666,-0.17700298,0.30561826,0.3760623937606239,0.7416598765655349,False
4641,DMH,"dorsomedial hypothalamic nucleus, left",4,4,-6.875,-0.875,-6.75,-0.18242559,0.28777128,0.380961903809619,0.7416598765655349,False
